InvoiceDate,Description,UnitPrice
2025-11-01 23:30:06,MacBook Air M2 13 inch,49485.26
2025-11-03 23:30:06,Samsung Galaxy S24 Ultra 5G,61679.31
2026-01-21 23:30:06,Fitbit Charge 5 Tracker,77324.31
2025-11-14 23:30:06,Timex Weekender Watch,35457.59
2025-08-23 23:30:06,The North Face Jacket,20490.72
2026-02-09 23:30:06,Sony WH-1000XM5 Wireless Headphones,18224.85
2025-08-24 23:30:06,Timex Weekender Watch,35098.76
2025-11-23 23:30:06,Canon EOS R6 Camera,68041.43
2026-01-12 23:30:06,MacBook Air M2 13 inch,45743.44
2025-10-24 23:30:06,HP DeskJet Printer,28374.25
2025-11-03 23:30:06,Fitbit Charge 5 Tracker,72666.94
2025-10-11 23:30:06,Dell XPS 15 Laptop,56219.7
2025-11-21 23:30:06,Running Water Bottle,31427.45
2025-09-26 23:30:06,Logitech MX Master 3S Mouse,24781.35
2025-12-23 23:30:06,Atomic Habits Hardcover Book,75776.51
2025-08-26 23:30:06,Leuchtturm1917 Bullet Journal,56902.34
2025-12-26 23:30:06,Running Water Bottle,28467.14
2026-02-02 23:30:06,KitchenAid Stand Mixer,45421.88
2025-11-30 23:30:06,Protein Powder Whey 2kg,65886.75
2025-08-26 23:30:06,Adidas Ultraboost 22 Sneakers,65602.03
2025-09-27 23:30:06,Logitech MX Master 3S Mouse,23858.69
2025-10-03 23:30:06,Roomba i7+ Robot Vacuum,57297.75
2025-09-12 23:30:06,The North Face Jacket,18929.62
2026-01-01 23:30:06,Wacom Drawing Tablet,36459.14
2025-09-30 23:30:06,Ray-Ban Aviator Sunglasses,63906.16
2025-08-28 23:30:06,Timex Weekender Watch,34012.37
2025-12-21 23:30:06,Apple Watch Series 9,7309.43
2025-08-31 23:30:06,Atomic Habits Hardcover Book,75032.89
2025-11-05 23:30:06,Gym Gloves Training,19602.77
2025-10-16 23:30:06,Parker Jotter Ballpoint Pen,74026.09
2026-02-09 23:30:06,Samsung Galaxy S24 Ultra 5G,55798.24
2025-10-24 23:30:06,Parker Jotter Ballpoint Pen,67351.51
2026-01-11 23:30:06,Foam Roller Massage,46454.95
2025-09-29 23:30:06,Resistance Bands Set,2307.11
2026-02-06 23:30:06,Dell XPS 15 Laptop,49623.56
2025-12-23 23:30:06,Fossil Gen 6 Smartwatch,23534.87
2025-08-26 23:30:06,Timex Weekender Watch,35989.57
2025-12-10 23:30:06,Dell XPS 15 Laptop,47789.13
2025-09-22 23:30:06,Dell XPS 15 Laptop,55351.29
2026-01-20 23:30:06,Apple iPhone 15 Pro Max 256GB,83438.96
2025-08-29 23:30:06,Boxing Gloves Professional,3419.6
2026-02-04 23:30:06,HP DeskJet Printer,31012.65
2026-01-17 23:30:06,Cuisinart Food Processor,11098.63
2025-12-29 23:30:06,Sony WH-1000XM5 Wireless Headphones,18058.61
2025-10-21 23:30:06,KitchenAid Stand Mixer,53804.46
2025-11-14 23:30:06,Leuchtturm1917 Bullet Journal,56529.54
2025-08-24 23:30:06,Levi's 501 Original Jeans,15198.5
2025-09-11 23:30:06,MacBook Air M2 13 inch,52560.1
2025-12-19 23:30:06,Apple iPhone 15 Pro Max 256GB,79109.35
2025-09-09 23:30:06,Sony WH-1000XM5 Wireless Headphones,15383.46
2026-02-02 23:30:06,iPad Pro 12.9 inch M2 Chip,62500.64
2026-01-13 23:30:06,Protein Powder Whey 2kg,64305.02
2025-10-25 23:30:06,iPad Pro 12.9 inch M2 Chip,67384.32
2025-10-03 23:30:06,Instant Pot Duo Plus 9-in-1,37181.49
2025-11-09 23:30:06,Logitech MX Master 3S Mouse,22192.59
2025-08-19 23:30:06,Dumbbells Set 20kg,34329.79
2026-02-09 23:30:06,Cuisinart Food Processor,11740.04
2025-11-25 23:30:06,Apple iPhone 15 Pro Max 256GB,79669.08
2026-01-30 23:30:06,Instant Pot Duo Plus 9-in-1,34121.81
2025-11-26 23:30:06,Canon EOS R6 Camera,74073.88
2026-02-05 23:30:06,Puma Running T-Shirt,84960.06
2025-08-14 23:30:06,Dyson V15 Detect Vacuum,51870.61
2025-11-13 23:30:06,Resistance Bands Set,2319.78
2025-10-22 23:30:06,MacBook Air M2 13 inch,52450.22
2026-01-11 23:30:06,Sapiens: A Brief History,56243.74
2025-08-23 23:30:06,Bose QuietComfort Earbuds II,33410.86
2025-10-24 23:30:06,KitchenAid Stand Mixer,50668.82
2025-12-18 23:30:06,Staedtler Pencil Set,25976.52
2025-11-05 23:30:06,Apple iPhone 15 Pro Max 256GB,72139.9
2026-02-02 23:30:06,Gym Gloves Training,20113.82
2025-10-28 23:30:06,Leuchtturm1917 Bullet Journal,57869.5
2026-02-09 23:30:06,The North Face Jacket,16607.26
2025-11-25 23:30:06,Puma Running T-Shirt,78542.78
2026-01-04 23:30:06,Protein Powder Whey 2kg,66912.36
2025-12-27 23:30:06,Sony WH-1000XM5 Wireless Headphones,17158.85
2025-11-09 23:30:06,Levi's 501 Original Jeans,16513.83
2025-12-25 23:30:06,Cuisinart Food Processor,10987.98
2025-10-21 23:30:06,iPad Pro 12.9 inch M2 Chip,71094.15
2026-01-05 23:30:06,Fitbit Charge 5 Tracker,72231.64
2026-01-22 23:30:06,Ray-Ban Aviator Sunglasses,61784.89
2025-10-09 23:30:06,The Psychology of Money,49964.15
2025-10-11 23:30:06,Bose QuietComfort Earbuds II,35097.03
2025-10-24 23:30:06,Samsung Smart Refrigerator,69391.87
2026-01-27 23:30:06,Wacom Drawing Tablet,36773.18
2025-10-26 23:30:06,Puma Running T-Shirt,81892.67
2025-12-25 23:30:06,Ninja Professional Blender,12234.08
2025-10-01 23:30:06,Nike Air Max 270 Running Shoes,1760.02
2025-10-05 23:30:06,Philips Air Fryer XXL,44119.67
2025-09-20 23:30:06,Fitbit Charge 5 Tracker,69092.99
2025-10-21 23:30:06,Kindle Paperwhite E-reader,28091.42
2025-12-07 23:30:06,Under Armour Sports Backpack,63010.43
2025-11-30 23:30:06,The North Face Jacket,18245.43
2025-12-19 23:30:06,Dumbbells Set 20kg,28561.34
2025-11-13 23:30:06,Levi's 501 Original Jeans,16388.38
2025-11-16 23:30:06,iPad Pro 12.9 inch M2 Chip,66488.39
2026-01-26 23:30:06,Adidas Ultraboost 22 Sneakers,79520.65
2025-08-14 23:30:06,Apple iPhone 15 Pro Max 256GB,72127.82
2026-01-06 23:30:06,Staedtler Pencil Set,25948.44
2026-01-08 23:30:06,MacBook Air M2 13 inch,48130.8
2025-08-28 23:30:06,Fossil Gen 6 Smartwatch,21351.36
2025-12-16 23:30:06,HP DeskJet Printer,28029.84
2025-09-30 23:30:06,Sapiens: A Brief History,70904.17
2025-11-12 23:30:06,MacBook Air M2 13 inch,53654.35
2026-01-25 23:30:06,Samsung Smart Refrigerator,59310.96
2025-11-11 23:30:06,Fitbit Charge 5 Tracker,70512.98
2026-01-27 23:30:06,LG Washing Machine Front Load,41075.85
2025-10-23 23:30:06,Resistance Bands Set,2329.32
2025-10-25 23:30:06,Atomic Habits Hardcover Book,75111.43
2026-02-01 23:30:06,Foam Roller Massage,45351.85
2026-01-16 23:30:06,The Psychology of Money,49379.26
2026-01-06 23:30:06,Running Water Bottle,28711.01
2025-09-28 23:30:06,Instant Pot Duo Plus 9-in-1,36797.12
2025-09-05 23:30:06,Protein Powder Whey 2kg,70620.69
2025-11-24 23:30:06,Canon EOS R6 Camera,68185.46
2025-09-08 23:30:06,Under Armour Sports Backpack,71908.51
2026-02-08 23:30:06,Sapiens: A Brief History,60219.72
2025-11-21 23:30:06,Sapiens: A Brief History,65138.18
2025-10-31 23:30:06,Instant Pot Duo Plus 9-in-1,38596.61
2025-12-27 23:30:06,HP DeskJet Printer,27800.22
2026-02-03 23:30:06,LG Washing Machine Front Load,38223.03
2025-12-15 23:30:06,Leuchtturm1917 Bullet Journal,54331.57
2025-10-16 23:30:06,Gym Gloves Training,19780.18
2025-12-31 23:30:06,Wacom Drawing Tablet,36419.34
2025-09-24 23:30:06,Jump Rope Speed,38498.69
2025-11-09 23:30:06,Canon EOS R6 Camera,71591.47
2025-10-27 23:30:06,Samsung Galaxy S24 Ultra 5G,61379.58
2025-09-07 23:30:06,Nike Air Max 270 Running Shoes,1892.23
2025-11-23 23:30:06,Puma Running T-Shirt,85425.7
2025-09-15 23:30:06,Timex Weekender Watch,36590.52
2025-10-01 23:30:06,HP DeskJet Printer,26752.55
2026-02-03 23:30:06,LG Washing Machine Front Load,38223.03
2025-09-06 23:30:06,Philips Air Fryer XXL,45742.32
2025-08-27 23:30:06,Staedtler Pencil Set,29857.28
2025-10-03 23:30:06,Resistance Bands Set,2414.3
2025-11-14 23:30:06,Protein Powder Whey 2kg,67028.92
2025-12-24 23:30:06,Under Armour Sports Backpack,65625.38
2025-10-26 23:30:06,Timex Weekender Watch,36779.77
2025-09-07 23:30:06,Apple Watch Series 9,8046.77
2025-08-31 23:30:06,Dumbbells Set 20kg,34529.18
2025-12-19 23:30:06,Sapiens: A Brief History,56479.67
2025-08-26 23:30:06,Logitech MX Master 3S Mouse,22358.69
2025-12-17 23:30:06,LG Washing Machine Front Load,41822.71
2026-02-09 23:30:06,Boxing Gloves Professional,3653.64
2025-12-15 23:30:06,Fossil Gen 6 Smartwatch,25311.8
2025-11-25 23:30:06,Cuisinart Food Processor,11564.91
2025-11-19 23:30:06,Roomba i7+ Robot Vacuum,56592.81
2026-01-25 23:30:06,LG Washing Machine Front Load,40168.84
2025-11-23 23:30:06,Apple Watch Series 9,7569.16
2025-10-24 23:30:06,Canon EOS R6 Camera,71898.87
2025-09-03 23:30:06,Running Water Bottle,33792.67
2025-10-18 23:30:06,Atomic Habits Hardcover Book,73482.76
2026-02-09 23:30:06,Kindle Paperwhite E-reader,27386.42
2025-10-19 23:30:06,Jump Rope Speed,38090.03
2026-02-09 23:30:06,Apple iPhone 15 Pro Max 256GB,83071.4
2025-12-16 23:30:06,Nike Air Max 270 Running Shoes,1704.18
2025-09-03 23:30:06,Fitbit Charge 5 Tracker,69388.46
2025-10-22 23:30:06,Keurig K-Elite Coffee Maker,41992.34
2025-11-24 23:30:06,Adidas Ultraboost 22 Sneakers,70496.95
2025-10-07 23:30:06,Staedtler Pencil Set,32834.59
2025-08-17 23:30:06,Running Water Bottle,34222.61
2026-01-18 23:30:06,Under Armour Sports Backpack,64062.48
2025-11-11 23:30:06,Samsung Galaxy S24 Ultra 5G,65613.96
2026-01-11 23:30:06,Samsung Galaxy S24 Ultra 5G,58223.86
2026-02-02 23:30:06,Resistance Bands Set,2349.05
2026-01-28 23:30:06,Kindle Paperwhite E-reader,28084.92
2026-02-05 23:30:06,Sapiens: A Brief History,62900.05
2025-12-29 23:30:06,Levi's 501 Original Jeans,16356.47
2025-08-26 23:30:06,Instant Pot Duo Plus 9-in-1,40104.4
2025-12-31 23:30:06,Protein Powder Whey 2kg,64498.58
2025-11-30 23:30:06,Roomba i7+ Robot Vacuum,56372.39
2025-11-26 23:30:06,Canon EOS R6 Camera,74073.88
2025-09-24 23:30:06,Protein Powder Whey 2kg,69235.19
2025-11-06 23:30:06,Staedtler Pencil Set,30255.72
2025-08-26 23:30:06,KitchenAid Stand Mixer,47937.06
2025-11-27 23:30:06,Nike Air Max 270 Running Shoes,1662.2
2025-09-29 23:30:06,Roomba i7+ Robot Vacuum,56966.29
2025-11-23 23:30:06,Dyson V15 Detect Vacuum,50692.71
2025-10-03 23:30:06,iPad Pro 12.9 inch M2 Chip,74781.72
2026-01-29 23:30:06,Jump Rope Speed,42592.08
2026-01-07 23:30:06,Yoga Mat Premium Non-Slip,38066.09
2025-09-13 23:30:06,Running Water Bottle,34212.99
2025-09-07 23:30:06,Yoga Mat Premium Non-Slip,36402.52
2026-01-10 23:30:06,KitchenAid Stand Mixer,42613.18
2025-09-29 23:30:06,Boxing Gloves Professional,3654.32
2025-12-10 23:30:06,Resistance Bands Set,2501.46
2025-09-18 23:30:06,Samsung Smart Refrigerator,72256.3
2025-11-12 23:30:06,Samsung Smart Refrigerator,66065.93
2025-11-19 23:30:06,Puma Running T-Shirt,77996.05
2025-08-29 23:30:06,Samsung Galaxy S24 Ultra 5G,66154.5
2025-12-20 23:30:06,Under Armour Sports Backpack,63617.29
2026-01-16 23:30:06,Yoga Mat Premium Non-Slip,37756.95
2025-12-29 23:30:06,Staedtler Pencil Set,25527.94
2025-10-07 23:30:06,Canon EOS R6 Camera,70842.68
2025-09-04 23:30:06,Roomba i7+ Robot Vacuum,52304.59
2025-08-31 23:30:06,Canon EOS R6 Camera,72971.18
2026-01-02 23:30:06,Bose QuietComfort Earbuds II,28711.12
2025-11-14 23:30:06,Apple iPhone 15 Pro Max 256GB,75487.34
2025-08-20 23:30:06,Samsung Smart Refrigerator,65868.65
2025-09-14 23:30:06,Nike Air Max 270 Running Shoes,1771.14
2025-09-03 23:30:06,Running Water Bottle,33792.67
2025-09-18 23:30:06,Atomic Habits Hardcover Book,79857.64
2025-12-22 23:30:06,Samsung Smart Refrigerator,61554.47
2025-10-13 23:30:06,Fitbit Charge 5 Tracker,72416.84
2025-12-25 23:30:06,Ninja Professional Blender,12234.08
2025-11-22 23:30:06,Sony WH-1000XM5 Wireless Headphones,17418.4
2025-11-19 23:30:06,Timex Weekender Watch,33465.14
2025-09-10 23:30:06,Bose QuietComfort Earbuds II,34992.76
2025-12-05 23:30:06,Boxing Gloves Professional,3547.64
2025-12-02 23:30:06,KitchenAid Stand Mixer,45974.37
2025-12-23 23:30:06,Bose QuietComfort Earbuds II,28446.53
2025-12-27 23:30:06,Philips Air Fryer XXL,49102.56
2026-01-14 23:30:06,LG Washing Machine Front Load,42622.58
2025-12-03 23:30:06,Samsung Galaxy S24 Ultra 5G,63762.48
2025-10-22 23:30:06,Under Armour Sports Backpack,71143.61
2025-09-10 23:30:06,Moleskine Classic Notebook,32735.76
2025-09-17 23:30:06,Cuisinart Food Processor,12922.69
2025-11-13 23:30:06,Instant Pot Duo Plus 9-in-1,37326.98
2025-10-24 23:30:06,Foam Roller Massage,46435.56
2026-01-15 23:30:06,Canon EOS R6 Camera,72226.5
2026-02-09 23:30:06,Philips Air Fryer XXL,51321.62
2025-10-16 23:30:06,Apple Watch Series 9,8036.58
2025-10-13 23:30:06,Dumbbells Set 20kg,31093.12
2025-11-11 23:30:06,iPad Pro 12.9 inch M2 Chip,67109.52
2025-10-23 23:30:06,Kindle Paperwhite E-reader,27940.92
2025-12-02 23:30:06,Resistance Bands Set,2393.34
2025-08-15 23:30:06,Bose QuietComfort Earbuds II,31120.75
2025-11-19 23:30:06,Kindle Paperwhite E-reader,27818.24
2025-10-22 23:30:06,Timex Weekender Watch,37514.71
2026-01-21 23:30:06,Timex Weekender Watch,32238.99
2025-09-04 23:30:06,Foam Roller Massage,42939.07
2026-01-02 23:30:06,Apple iPhone 15 Pro Max 256GB,78019.22
2025-09-08 23:30:06,HP DeskJet Printer,26422.99
2025-09-24 23:30:06,Puma Running T-Shirt,77142.73
2025-12-25 23:30:06,Logitech MX Master 3S Mouse,19875.06
2025-09-20 23:30:06,The North Face Jacket,19646.36
2025-11-30 23:30:06,Ninja Professional Blender,13661.49
2025-10-16 23:30:06,Yoga Mat Premium Non-Slip,36527.2
2025-11-10 23:30:06,Dyson V15 Detect Vacuum,54602.81
2026-02-02 23:30:06,Sapiens: A Brief History,62780.58
2025-08-21 23:30:06,Apple iPhone 15 Pro Max 256GB,67540.58
2025-08-18 23:30:06,KitchenAid Stand Mixer,50625.96
2025-12-22 23:30:06,HP DeskJet Printer,27559.15
2026-01-26 23:30:06,Staedtler Pencil Set,26909.99
2025-10-30 23:30:06,Fitbit Charge 5 Tracker,69103.42
2026-01-04 23:30:06,Wacom Drawing Tablet,39285.73
2025-09-16 23:30:06,Parker Jotter Ballpoint Pen,76558.63
2026-01-05 23:30:06,Ray-Ban Aviator Sunglasses,58824.66
2026-01-04 23:30:06,Adidas Ultraboost 22 Sneakers,75009.15
2026-01-24 23:30:06,Levi's 501 Original Jeans,16716.67
2025-09-27 23:30:06,Resistance Bands Set,2475.63
2025-11-18 23:30:06,Puma Running T-Shirt,83517.36
2026-02-02 23:30:06,Keurig K-Elite Coffee Maker,40446.88
2025-08-26 23:30:06,The Psychology of Money,48096.61
2026-01-16 23:30:06,Fossil Gen 6 Smartwatch,24183.43
2025-10-01 23:30:06,Cuisinart Food Processor,12963.5
2025-09-26 23:30:06,The North Face Jacket,18946.4
2025-12-23 23:30:06,Staedtler Pencil Set,26871.0
2026-01-26 23:30:06,Under Armour Sports Backpack,62442.09
2025-12-23 23:30:06,Samsung Smart Refrigerator,59667.33
2025-10-27 23:30:06,Philips Air Fryer XXL,45047.4
2025-11-24 23:30:06,Cuisinart Food Processor,11688.36
2025-10-16 23:30:06,Under Armour Sports Backpack,66149.26
2026-02-04 23:30:06,Protein Powder Whey 2kg,62481.33
2025-12-24 23:30:06,Dumbbells Set 20kg,28580.86
2025-12-24 23:30:06,KitchenAid Stand Mixer,43876.55
2025-11-06 23:30:06,Apple Watch Series 9,8093.18
2025-10-11 23:30:06,Wacom Drawing Tablet,36629.08
2025-10-14 23:30:06,Moleskine Classic Notebook,35130.05
2026-02-07 23:30:06,Dell XPS 15 Laptop,48170.1
2025-09-29 23:30:06,Puma Running T-Shirt,75878.91
2025-10-26 23:30:06,Levi's 501 Original Jeans,16634.7
2025-10-11 23:30:06,Apple Watch Series 9,7678.49
2025-09-28 23:30:06,Running Water Bottle,35098.73
2025-11-26 23:30:06,Foam Roller Massage,42425.34
2025-11-26 23:30:06,Ray-Ban Aviator Sunglasses,61641.61
2025-10-01 23:30:06,Adidas Ultraboost 22 Sneakers,71089.36
2026-01-20 23:30:06,Philips Air Fryer XXL,51811.68
2025-09-06 23:30:06,Gym Gloves Training,18894.75
2025-11-12 23:30:06,Resistance Bands Set,2479.67
2026-01-28 23:30:06,Dyson V15 Detect Vacuum,50396.24
2025-12-10 23:30:06,Dumbbells Set 20kg,31113.59
2025-09-12 23:30:06,Leuchtturm1917 Bullet Journal,55199.26
2025-12-27 23:30:06,Dell XPS 15 Laptop,46454.37
2025-09-01 23:30:06,Puma Running T-Shirt,73704.66
2025-10-19 23:30:06,Adidas Ultraboost 22 Sneakers,70764.95
2025-12-23 23:30:06,Sapiens: A Brief History,61519.86
2026-02-01 23:30:06,Leuchtturm1917 Bullet Journal,57345.28
2025-10-03 23:30:06,MacBook Air M2 13 inch,51876.9
2025-11-17 23:30:06,Apple iPhone 15 Pro Max 256GB,75897.87
2026-02-06 23:30:06,Yoga Mat Premium Non-Slip,40151.69
2025-10-20 23:30:06,Atomic Habits Hardcover Book,75904.52
2025-10-20 23:30:06,Ninja Professional Blender,14037.63
2026-01-03 23:30:06,Philips Air Fryer XXL,51868.89
